YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Education,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2015,2015,GA,Georgia,24.4,College graduate,"(32.83968109300048, -83.62758034599966)",College graduate,EDU,EDUCOGRAD
2014,2014,GU,Guam,27.3,Some college or technical school,"(13.444304, 144.793731)",Some college or technical school,EDU,EDUCOTEC
2014,2014,GU,Guam,33.2,Less than high school,"(13.444304, 144.793731)",Less than high school,EDU,EDUHS
2014,2014,GU,Guam,29.3,High school graduate,"(13.444304, 144.793731)",High school graduate,EDU,EDUHSGRAD
2014,2014,GU,Guam,21.9,College graduate,"(13.444304, 144.793731)",College graduate,EDU,EDUCOGRAD
2015,2015,GU,Guam,28.8,Some college or technical school,"(13.444304, 144.793731)",Some college or technical school,EDU,EDUCOTEC
2015,2015,GU,Guam,35,Less than high school,"(13.444304, 144.793731)",Less than high school,EDU,EDUHS
2015,2015,GU,Guam,34.4,High school graduate,"(13.444304, 144.793731)",High school graduate,EDU,EDUHSGRAD
2015,2015,GU,Guam,26.4,College graduate,"(13.444304, 144.793731)",College graduate,EDU,EDUCOGRAD
2011,2011,HI,Hawaii,22.8,Some college or technical school,"(21.304850435000446, -157.85774940299973)",Some college or technical school,EDU,EDUCOTEC
2011,2011,HI,Hawaii,27.1,Less than high school,"(21.304850435000446, -157.85774940299973)",Less than high school,EDU,EDUHS
2011,2011,HI,Hawaii,24.9,High school graduate,"(21.304850435000446, -157.85774940299973)",High school graduate,EDU,EDUHSGRAD
2011,2011,HI,Hawaii,15.2,College graduate,"(21.304850435000446, -157.85774940299973)",College graduate,EDU,EDUCOGRAD
2012,2012,HI,Hawaii,23.6,Some college or technical school,"(21.304850435000446, -157.85774940299973)",Some college or technical school,EDU,EDUCOTEC
2012,2012,HI,Hawaii,27.4,Less than high school,"(21.304850435000446, -157.85774940299973)",Less than high school,EDU,EDUHS
2012,2012,HI,Hawaii,27.8,High school graduate,"(21.304850435000446, -157.85774940299973)",High school graduate,EDU,EDUHSGRAD
2012,2012,HI,Hawaii,17.4,College graduate,"(21.304850435000446, -157.85774940299973)",College graduate,EDU,EDUCOGRAD
2013,2013,HI,Hawaii,22.3,Some college or technical school,"(21.304850435000446, -157.85774940299973)",Some college or technical school,EDU,EDUCOTEC
2013,2013,HI,Hawaii,29.3,Less than high school,"(21.304850435000446, -157.85774940299973)",Less than high school,EDU,EDUHS
2013,2013,HI,Hawaii,24.2,High school graduate,"(21.304850435000446, -157.85774940299973)",High school graduate,EDU,EDUHSGRAD
2013,2013,HI,Hawaii,15.7,College graduate,"(21.304850435000446, -157.85774940299973)",College graduate,EDU,EDUCOGRAD
2014,2014,HI,Hawaii,23.2,Some college or technical school,"(21.304850435000446, -157.85774940299973)",Some college or technical school,EDU,EDUCOTEC
2014,2014,HI,Hawaii,21.3,Less than high school,"(21.304850435000446, -157.85774940299973)",Less than high school,EDU,EDUHS
2014,2014,HI,Hawaii,25.2,High school graduate,"(21.304850435000446, -157.85774940299973)",High school graduate,EDU,EDUHSGRAD
2014,2014,HI,Hawaii,17.4,College graduate,"(21.304850435000446, -157.85774940299973)",College graduate,EDU,EDUCOGRAD
2015,2015,HI,Hawaii,22.7,Some college or technical school,"(21.304850435000446, -157.85774940299973)",Some college or technical school,EDU,EDUCOTEC
2015,2015,HI,Hawaii,32,Less than high school,"(21.304850435000446, -157.85774940299973)",Less than high school,EDU,EDUHS
2015,2015,HI,Hawaii,24.8,High school graduate,"(21.304850435000446, -157.85774940299973)",High school graduate,EDU,EDUHSGRAD
2015,2015,HI,Hawaii,17.1,College graduate,"(21.304850435000446, -157.85774940299973)",College graduate,EDU,EDUCOGRAD
2011,2011,ID,Idaho,27.6,Some college or technical school,"(43.682630005000476, -114.3637300419997)",Some college or technical school,EDU,EDUCOTEC
2011,2011,ID,Idaho,32.8,Less than high school,"(43.682630005000476, -114.3637300419997)",Less than high school,EDU,EDUHS
2011,2011,ID,Idaho,28.2,High school graduate,"(43.682630005000476, -114.3637300419997)",High school graduate,EDU,EDUHSGRAD
2011,2011,ID,Idaho,21.5,College graduate,"(43.682630005000476, -114.3637300419997)",College graduate,EDU,EDUCOGRAD
2012,2012,ID,Idaho,29,Some college or technical school,"(43.682630005000476, -114.3637300419997)",Some college or technical school,EDU,EDUCOTEC
2012,2012,ID,Idaho,30.3,Less than high school,"(43.682630005000476, -114.3637300419997)",Less than high school,EDU,EDUHS
2012,2012,ID,Idaho,24.5,High school graduate,"(43.682630005000476, -114.3637300419997)",High school graduate,EDU,EDUHSGRAD
2012,2012,ID,Idaho,24.2,College graduate,"(43.682630005000476, -114.3637300419997)",College graduate,EDU,EDUCOGRAD
2013,2013,ID,Idaho,30.9,Some college or technical school,"(43.682630005000476, -114.3637300419997)",Some college or technical school,EDU,EDUCOTEC
2013,2013,ID,Idaho,32.3,Less than high school,"(43.682630005000476, -114.3637300419997)",Less than high school,EDU,EDUHS
2013,2013,ID,Idaho,31.1,High school graduate,"(43.682630005000476, -114.3637300419997)",High school graduate,EDU,EDUHSGRAD
2013,2013,ID,Idaho,24.2,College graduate,"(43.682630005000476, -114.3637300419997)",College graduate,EDU,EDUCOGRAD
2014,2014,ID,Idaho,30.3,Some college or technical school,"(43.682630005000476, -114.3637300419997)",Some college or technical school,EDU,EDUCOTEC
2014,2014,ID,Idaho,34.4,Less than high school,"(43.682630005000476, -114.3637300419997)",Less than high school,EDU,EDUHS
2014,2014,ID,Idaho,28.7,High school graduate,"(43.682630005000476, -114.3637300419997)",High school graduate,EDU,EDUHSGRAD
2014,2014,ID,Idaho,24.3,College graduate,"(43.682630005000476, -114.3637300419997)",College graduate,EDU,EDUCOGRAD
2015,2015,ID,Idaho,30.1,Some college or technical school,"(43.682630005000476, -114.3637300419997)",Some college or technical school,EDU,EDUCOTEC
2015,2015,ID,Idaho,32.8,Less than high school,"(43.682630005000476, -114.3637300419997)",Less than high school,EDU,EDUHS
2015,2015,ID,Idaho,29.6,High school graduate,"(43.682630005000476, -114.3637300419997)",High school graduate,EDU,EDUHSGRAD
2015,2015,ID,Idaho,23,College graduate,"(43.682630005000476, -114.3637300419997)",College graduate,EDU,EDUCOGRAD
2011,2011,IL,Illinois,28,Some college or technical school,"(40.48501028300046, -88.99771017799969)",Some college or technical school,EDU,EDUCOTEC
2011,2011,IL,Illinois,29,Less than high school,"(40.48501028300046, -88.99771017799969)",Less than high school,EDU,EDUHS
2011,2011,IL,Illinois,29,High school graduate,"(40.48501028300046, -88.99771017799969)",High school graduate,EDU,EDUHSGRAD
2011,2011,IL,Illinois,23.4,College graduate,"(40.48501028300046, -88.99771017799969)",College graduate,EDU,EDUCOGRAD
2012,2012,IL,Illinois,28.4,Some college or technical school,"(40.48501028300046, -88.99771017799969)",Some college or technical school,EDU,EDUCOTEC
2012,2012,IL,Illinois,30,Less than high school,"(40.48501028300046, -88.99771017799969)",Less than high school,EDU,EDUHS
2012,2012,IL,Illinois,30.7,High school graduate,"(40.48501028300046, -88.99771017799969)",High school graduate,EDU,EDUHSGRAD
2012,2012,IL,Illinois,24.2,College graduate,"(40.48501028300046, -88.99771017799969)",College graduate,EDU,EDUCOGRAD
2013,2013,IL,Illinois,30.9,Some college or technical school,"(40.48501028300046, -88.99771017799969)",Some college or technical school,EDU,EDUCOTEC
2013,2013,IL,Illinois,31.2,Less than high school,"(40.48501028300046, -88.99771017799969)",Less than high school,EDU,EDUHS
2013,2013,IL,Illinois,33.5,High school graduate,"(40.48501028300046, -88.99771017799969)",High school graduate,EDU,EDUHSGRAD
2013,2013,IL,Illinois,22.8,College graduate,"(40.48501028300046, -88.99771017799969)",College graduate,EDU,EDUCOGRAD
2014,2014,IL,Illinois,31.5,Some college or technical school,"(40.48501028300046, -88.99771017799969)",Some college or technical school,EDU,EDUCOTEC
2014,2014,IL,Illinois,32.3,Less than high school,"(40.48501028300046, -88.99771017799969)",Less than high school,EDU,EDUHS
2014,2014,IL,Illinois,33,High school graduate,"(40.48501028300046, -88.99771017799969)",High school graduate,EDU,EDUHSGRAD
2014,2014,IL,Illinois,22,College graduate,"(40.48501028300046, -88.99771017799969)",College graduate,EDU,EDUCOGRAD
2015,2015,IL,Illinois,33.4,Some college or technical school,"(40.48501028300046, -88.99771017799969)",Some college or technical school,EDU,EDUCOTEC
2015,2015,IL,Illinois,32.5,Less than high school,"(40.48501028300046, -88.99771017799969)",Less than high school,EDU,EDUHS
2015,2015,IL,Illinois,34.9,High school graduate,"(40.48501028300046, -88.99771017799969)",High school graduate,EDU,EDUHSGRAD
2015,2015,IL,Illinois,23.5,College graduate,"(40.48501028300046, -88.99771017799969)",College graduate,EDU,EDUCOGRAD
2011,2011,IN,Indiana,31.8,Some college or technical school,"(39.766910452000445, -86.14996019399968)",Some college or technical school,EDU,EDUCOTEC
2011,2011,IN,Indiana,36.2,Less than high school,"(39.766910452000445, -86.14996019399968)",Less than high school,EDU,EDUHS
2011,2011,IN,Indiana,32.3,High school graduate,"(39.766910452000445, -86.14996019399968)",High school graduate,EDU,EDUHSGRAD
2011,2011,IN,Indiana,23.5,College graduate,"(39.766910452000445, -86.14996019399968)",College graduate,EDU,EDUCOGRAD
2012,2012,IN,Indiana,32.6,Some college or technical school,"(39.766910452000445, -86.14996019399968)",Some college or technical school,EDU,EDUCOTEC
2012,2012,IN,Indiana,37.5,Less than high school,"(39.766910452000445, -86.14996019399968)",Less than high school,EDU,EDUHS
2012,2012,IN,Indiana,32.1,High school graduate,"(39.766910452000445, -86.14996019399968)",High school graduate,EDU,EDUHSGRAD
2012,2012,IN,Indiana,24.2,College graduate,"(39.766910452000445, -86.14996019399968)",College graduate,EDU,EDUCOGRAD
2013,2013,IN,Indiana,33.6,Some college or technical school,"(39.766910452000445, -86.14996019399968)",Some college or technical school,EDU,EDUCOTEC
2013,2013,IN,Indiana,35.1,Less than high school,"(39.766910452000445, -86.14996019399968)",Less than high school,EDU,EDUHS
2013,2013,IN,Indiana,33,High school graduate,"(39.766910452000445, -86.14996019399968)",High school graduate,EDU,EDUHSGRAD
2013,2013,IN,Indiana,25.4,College graduate,"(39.766910452000445, -86.14996019399968)",College graduate,EDU,EDUCOGRAD
2014,2014,IN,Indiana,33.8,Some college or technical school,"(39.766910452000445, -86.14996019399968)",Some college or technical school,EDU,EDUCOTEC
2014,2014,IN,Indiana,34.9,Less than high school,"(39.766910452000445, -86.14996019399968)",Less than high school,EDU,EDUHS
2014,2014,IN,Indiana,34.1,High school graduate,"(39.766910452000445, -86.14996019399968)",High school graduate,EDU,EDUHSGRAD
2014,2014,IN,Indiana,27.6,College graduate,"(39.766910452000445, -86.14996019399968)",College graduate,EDU,EDUCOGRAD
2015,2015,IN,Indiana,32.3,Some college or technical school,"(39.766910452000445, -86.14996019399968)",Some college or technical school,EDU,EDUCOTEC
2015,2015,IN,Indiana,26.1,Less than high school,"(39.766910452000445, -86.14996019399968)",Less than high school,EDU,EDUHS
2015,2015,IN,Indiana,35.3,High school graduate,"(39.766910452000445, -86.14996019399968)",High school graduate,EDU,EDUHSGRAD
2015,2015,IN,Indiana,26.5,College graduate,"(39.766910452000445, -86.14996019399968)",College graduate,EDU,EDUCOGRAD
2011,2011,IA,Iowa,29,Some college or technical school,"(42.46940091300047, -93.81649055599968)",Some college or technical school,EDU,EDUCOTEC
2011,2011,IA,Iowa,28.2,Less than high school,"(42.46940091300047, -93.81649055599968)",Less than high school,EDU,EDUHS
2011,2011,IA,Iowa,33,High school graduate,"(42.46940091300047, -93.81649055599968)",High school graduate,EDU,EDUHSGRAD
2011,2011,IA,Iowa,23.2,College graduate,"(42.46940091300047, -93.81649055599968)",College graduate,EDU,EDUCOGRAD
2012,2012,IA,Iowa,32.3,Some college or technical school,"(42.46940091300047, -93.81649055599968)",Some college or technical school,EDU,EDUCOTEC
2012,2012,IA,Iowa,28.6,Less than high school,"(42.46940091300047, -93.81649055599968)",Less than high school,EDU,EDUHS
2012,2012,IA,Iowa,33.5,High school graduate,"(42.46940091300047, -93.81649055599968)",High school graduate,EDU,EDUHSGRAD
2012,2012,IA,Iowa,23.9,College graduate,"(42.46940091300047, -93.81649055599968)",College graduate,EDU,EDUCOGRAD
2013,2013,IA,Iowa,32.5,Some college or technical school,"(42.46940091300047, -93.81649055599968)",Some college or technical school,EDU,EDUCOTEC
2013,2013,IA,Iowa,32.2,Less than high school,"(42.46940091300047, -93.81649055599968)",Less than high school,EDU,EDUHS
2013,2013,IA,Iowa,33,High school graduate,"(42.46940091300047, -93.81649055599968)",High school graduate,EDU,EDUHSGRAD
2013,2013,IA,Iowa,26.7,College graduate,"(42.46940091300047, -93.81649055599968)",College graduate,EDU,EDUCOGRAD
2014,2014,IA,Iowa,31.9,Some college or technical school,"(42.46940091300047, -93.81649055599968)",Some college or technical school,EDU,EDUCOTEC
2014,2014,IA,Iowa,37.4,Less than high school,"(42.46940091300047, -93.81649055599968)",Less than high school,EDU,EDUHS
2014,2014,IA,Iowa,32.5,High school graduate,"(42.46940091300047, -93.81649055599968)",High school graduate,EDU,EDUHSGRAD
2014,2014,IA,Iowa,25,College graduate,"(42.46940091300047, -93.81649055599968)",College graduate,EDU,EDUCOGRAD
2015,2015,IA,Iowa,33.5,Some college or technical school,"(42.46940091300047, -93.81649055599968)",Some college or technical school,EDU,EDUCOTEC
2015,2015,IA,Iowa,33.4,Less than high school,"(42.46940091300047, -93.81649055599968)",Less than high school,EDU,EDUHS
2015,2015,IA,Iowa,34.5,High school graduate,"(42.46940091300047, -93.81649055599968)",High school graduate,EDU,EDUHSGRAD
2015,2015,IA,Iowa,26.6,College graduate,"(42.46940091300047, -93.81649055599968)",College graduate,EDU,EDUCOGRAD
2011,2011,KS,Kansas,31.3,Some college or technical school,"(38.34774030000045, -98.20078122699965)",Some college or technical school,EDU,EDUCOTEC
2011,2011,KS,Kansas,30.6,Less than high school,"(38.34774030000045, -98.20078122699965)",Less than high school,EDU,EDUHS
2011,2011,KS,Kansas,31.5,High school graduate,"(38.34774030000045, -98.20078122699965)",High school graduate,EDU,EDUHSGRAD
2011,2011,KS,Kansas,24.9,College graduate,"(38.34774030000045, -98.20078122699965)",College graduate,EDU,EDUCOGRAD
2012,2012,KS,Kansas,31.6,Some college or technical school,"(38.34774030000045, -98.20078122699965)",Some college or technical school,EDU,EDUCOTEC
2012,2012,KS,Kansas,36,Less than high school,"(38.34774030000045, -98.20078122699965)",Less than high school,EDU,EDUHS
2012,2012,KS,Kansas,31.4,High school graduate,"(38.34774030000045, -98.20078122699965)",High school graduate,EDU,EDUHSGRAD
2012,2012,KS,Kansas,23.6,College graduate,"(38.34774030000045, -98.20078122699965)",College graduate,EDU,EDUCOGRAD
2013,2013,KS,Kansas,31.4,Some college or technical school,"(38.34774030000045, -98.20078122699965)",Some college or technical school,EDU,EDUCOTEC
2013,2013,KS,Kansas,35.1,Less than high school,"(38.34774030000045, -98.20078122699965)",Less than high school,EDU,EDUHS
2013,2013,KS,Kansas,31,High school graduate,"(38.34774030000045, -98.20078122699965)",High school graduate,EDU,EDUHSGRAD
2013,2013,KS,Kansas,25.1,College graduate,"(38.34774030000045, -98.20078122699965)",College graduate,EDU,EDUCOGRAD
2014,2014,KS,Kansas,32.7,Some college or technical school,"(38.34774030000045, -98.20078122699965)",Some college or technical school,EDU,EDUCOTEC
2014,2014,KS,Kansas,31.2,Less than high school,"(38.34774030000045, -98.20078122699965)",Less than high school,EDU,EDUHS
2014,2014,KS,Kansas,33.4,High school graduate,"(38.34774030000045, -98.20078122699965)",High school graduate,EDU,EDUHSGRAD
2014,2014,KS,Kansas,27.4,College graduate,"(38.34774030000045, -98.20078122699965)",College graduate,EDU,EDUCOGRAD
2015,2015,KS,Kansas,34.5,Some college or technical school,"(38.34774030000045, -98.20078122699965)",Some college or technical school,EDU,EDUCOTEC
2015,2015,KS,Kansas,39.3,Less than high school,"(38.34774030000045, -98.20078122699965)",Less than high school,EDU,EDUHS
2015,2015,KS,Kansas,36.4,High school graduate,"(38.34774030000045, -98.20078122699965)",High school graduate,EDU,EDUHSGRAD
2015,2015,KS,Kansas,30,College graduate,"(38.34774030000045, -98.20078122699965)",College graduate,EDU,EDUCOGRAD
2011,2011,KY,Kentucky,30.6,Some college or technical school,"(37.645970271000465, -84.77497104799966)",Some college or technical school,EDU,EDUCOTEC
2011,2011,KY,Kentucky,34,Less than high school,"(37.645970271000465, -84.77497104799966)",Less than high school,EDU,EDUHS
2011,2011,KY,Kentucky,31.4,High school graduate,"(37.645970271000465, -84.77497104799966)",High school graduate,EDU,EDUHSGRAD
2011,2011,KY,Kentucky,24.4,College graduate,"(37.645970271000465, -84.77497104799966)",College graduate,EDU,EDUCOGRAD
2012,2012,KY,Kentucky,32.6,Some college or technical school,"(37.645970271000465, -84.77497104799966)",Some college or technical school,EDU,EDUCOTEC
2012,2012,KY,Kentucky,33.2,Less than high school,"(37.645970271000465, -84.77497104799966)",Less than high school,EDU,EDUHS
2012,2012,KY,Kentucky,31.8,High school graduate,"(37.645970271000465, -84.77497104799966)",High school graduate,EDU,EDUHSGRAD
2012,2012,KY,Kentucky,26.5,College graduate,"(37.645970271000465, -84.77497104799966)",College graduate,EDU,EDUCOGRAD
2013,2013,KY,Kentucky,34.3,Some college or technical school,"(37.645970271000465, -84.77497104799966)",Some college or technical school,EDU,EDUCOTEC
2013,2013,KY,Kentucky,34.2,Less than high school,"(37.645970271000465, -84.77497104799966)",Less than high school,EDU,EDUHS
2013,2013,KY,Kentucky,35.7,High school graduate,"(37.645970271000465, -84.77497104799966)",High school graduate,EDU,EDUHSGRAD
2013,2013,KY,Kentucky,25.7,College graduate,"(37.645970271000465, -84.77497104799966)",College graduate,EDU,EDUCOGRAD
2014,2014,KY,Kentucky,31.1,Some college or technical school,"(37.645970271000465, -84.77497104799966)",Some college or technical school,EDU,EDUCOTEC
2014,2014,KY,Kentucky,33.2,Less than high school,"(37.645970271000465, -84.77497104799966)",Less than high school,EDU,EDUHS
2014,2014,KY,Kentucky,33.3,High school graduate,"(37.645970271000465, -84.77497104799966)",High school graduate,EDU,EDUHSGRAD
2014,2014,KY,Kentucky,28.1,College graduate,"(37.645970271000465, -84.77497104799966)",College graduate,EDU,EDUCOGRAD
2015,2015,KY,Kentucky,35,Some college or technical school,"(37.645970271000465, -84.77497104799966)",Some college or technical school,EDU,EDUCOTEC
2015,2015,KY,Kentucky,36.4,Less than high school,"(37.645970271000465, -84.77497104799966)",Less than high school,EDU,EDUHS
2015,2015,KY,Kentucky,35.9,High school graduate,"(37.645970271000465, -84.77497104799966)",High school graduate,EDU,EDUHSGRAD
2015,2015,KY,Kentucky,30.6,College graduate,"(37.645970271000465, -84.77497104799966)",College graduate,EDU,EDUCOGRAD
2011,2011,LA,Louisiana,35.8,Some college or technical school,"(31.31266064400046, -92.44568007099969)",Some college or technical school,EDU,EDUCOTEC
2011,2011,LA,Louisiana,36.3,Less than high school,"(31.31266064400046, -92.44568007099969)",Less than high school,EDU,EDUHS
2011,2011,LA,Louisiana,33.6,High school graduate,"(31.31266064400046, -92.44568007099969)",High school graduate,EDU,EDUHSGRAD
2011,2011,LA,Louisiana,26.6,College graduate,"(31.31266064400046, -92.44568007099969)",College graduate,EDU,EDUCOGRAD
2012,2012,LA,Louisiana,37.5,Some college or technical school,"(31.31266064400046, -92.44568007099969)",Some college or technical school,EDU,EDUCOTEC
2012,2012,LA,Louisiana,38.6,Less than high school,"(31.31266064400046, -92.44568007099969)",Less than high school,EDU,EDUHS
2012,2012,LA,Louisiana,34,High school graduate,"(31.31266064400046, -92.44568007099969)",High school graduate,EDU,EDUHSGRAD
2012,2012,LA,Louisiana,28.3,College graduate,"(31.31266064400046, -92.44568007099969)",College graduate,EDU,EDUCOGRAD
2013,2013,LA,Louisiana,32.5,Some college or technical school,"(31.31266064400046, -92.44568007099969)",Some college or technical school,EDU,EDUCOTEC
2013,2013,LA,Louisiana,38.8,Less than high school,"(31.31266064400046, -92.44568007099969)",Less than high school,EDU,EDUHS
2013,2013,LA,Louisiana,34.7,High school graduate,"(31.31266064400046, -92.44568007099969)",High school graduate,EDU,EDUHSGRAD
2013,2013,LA,Louisiana,25.8,College graduate,"(31.31266064400046, -92.44568007099969)",College graduate,EDU,EDUCOGRAD
2014,2014,LA,Louisiana,34.4,Some college or technical school,"(31.31266064400046, -92.44568007099969)",Some college or technical school,EDU,EDUCOTEC
2014,2014,LA,Louisiana,36.1,Less than high school,"(31.31266064400046, -92.44568007099969)",Less than high school,EDU,EDUHS
2014,2014,LA,Louisiana,37.1,High school graduate,"(31.31266064400046, -92.44568007099969)",High school graduate,EDU,EDUHSGRAD
2014,2014,LA,Louisiana,30.7,College graduate,"(31.31266064400046, -92.44568007099969)",College graduate,EDU,EDUCOGRAD
2015,2015,LA,Louisiana,35.2,Some college or technical school,"(31.31266064400046, -92.44568007099969)",Some college or technical school,EDU,EDUCOTEC
2015,2015,LA,Louisiana,40.2,Less than high school,"(31.31266064400046, -92.44568007099969)",Less than high school,EDU,EDUHS
2015,2015,LA,Louisiana,39.2,High school graduate,"(31.31266064400046, -92.44568007099969)",High school graduate,EDU,EDUHSGRAD
2015,2015,LA,Louisiana,29.1,College graduate,"(31.31266064400046, -92.44568007099969)",College graduate,EDU,EDUCOGRAD
2011,2011,ME,Maine,28.4,Some college or technical school,"(45.254228894000505, -68.98503133599962)",Some college or technical school,EDU,EDUCOTEC
2011,2011,ME,Maine,32.2,Less than high school,"(45.254228894000505, -68.98503133599962)",Less than high school,EDU,EDUHS
2011,2011,ME,Maine,31.4,High school graduate,"(45.254228894000505, -68.98503133599962)",High school graduate,EDU,EDUHSGRAD
2011,2011,ME,Maine,20.2,College graduate,"(45.254228894000505, -68.98503133599962)",College graduate,EDU,EDUCOGRAD
2012,2012,ME,Maine,29.6,Some college or technical school,"(45.254228894000505, -68.98503133599962)",Some college or technical school,EDU,EDUCOTEC
2012,2012,ME,Maine,34.8,Less than high school,"(45.254228894000505, -68.98503133599962)",Less than high school,EDU,EDUHS
2012,2012,ME,Maine,31.6,High school graduate,"(45.254228894000505, -68.98503133599962)",High school graduate,EDU,EDUHSGRAD
2012,2012,ME,Maine,19.7,College graduate,"(45.254228894000505, -68.98503133599962)",College graduate,EDU,EDUCOGRAD
2013,2013,ME,Maine,29.8,Some college or technical school,"(45.254228894000505, -68.98503133599962)",Some college or technical school,EDU,EDUCOTEC
2013,2013,ME,Maine,34.2,Less than high school,"(45.254228894000505, -68.98503133599962)",Less than high school,EDU,EDUHS
2013,2013,ME,Maine,31.5,High school graduate,"(45.254228894000505, -68.98503133599962)",High school graduate,EDU,EDUHSGRAD
2013,2013,ME,Maine,22.2,College graduate,"(45.254228894000505, -68.98503133599962)",College graduate,EDU,EDUCOGRAD
2014,2014,ME,Maine,28.8,Some college or technical school,"(45.254228894000505, -68.98503133599962)",Some college or technical school,EDU,EDUCOTEC
2014,2014,ME,Maine,30.9,Less than high school,"(45.254228894000505, -68.98503133599962)",Less than high school,EDU,EDUHS
2014,2014,ME,Maine,31.1,High school graduate,"(45.254228894000505, -68.98503133599962)",High school graduate,EDU,EDUHSGRAD
2014,2014,ME,Maine,22.5,College graduate,"(45.254228894000505, -68.98503133599962)",College graduate,EDU,EDUCOGRAD
2015,2015,ME,Maine,31.7,Some college or technical school,"(45.254228894000505, -68.98503133599962)",Some college or technical school,EDU,EDUCOTEC
2015,2015,ME,Maine,32.4,Less than high school,"(45.254228894000505, -68.98503133599962)",Less than high school,EDU,EDUHS
2015,2015,ME,Maine,34.1,High school graduate,"(45.254228894000505, -68.98503133599962)",High school graduate,EDU,EDUHSGRAD
2015,2015,ME,Maine,21.8,College graduate,"(45.254228894000505, -68.98503133599962)",College graduate,EDU,EDUCOGRAD
2011,2011,MD,Maryland,29.3,Some college or technical school,"(39.29058096400047, -76.60926011099963)",Some college or technical school,EDU,EDUCOTEC
2011,2011,MD,Maryland,35.2,Less than high school,"(39.29058096400047, -76.60926011099963)",Less than high school,EDU,EDUHS
2011,2011,MD,Maryland,32.6,High school graduate,"(39.29058096400047, -76.60926011099963)",High school graduate,EDU,EDUHSGRAD
2011,2011,MD,Maryland,21.3,College graduate,"(39.29058096400047, -76.60926011099963)",College graduate,EDU,EDUCOGRAD
2012,2012,MD,Maryland,29.1,Some college or technical school,"(39.29058096400047, -76.60926011099963)",Some college or technical school,EDU,EDUCOTEC
2012,2012,MD,Maryland,33.7,Less than high school,"(39.29058096400047, -76.60926011099963)",Less than high school,EDU,EDUHS
2012,2012,MD,Maryland,31.6,High school graduate,"(39.29058096400047, -76.60926011099963)",High school graduate,EDU,EDUHSGRAD
2012,2012,MD,Maryland,21.1,College graduate,"(39.29058096400047, -76.60926011099963)",College graduate,EDU,EDUCOGRAD
2013,2013,MD,Maryland,29.8,Some college or technical school,"(39.29058096400047, -76.60926011099963)",Some college or technical school,EDU,EDUCOTEC
2013,2013,MD,Maryland,30.9,Less than high school,"(39.29058096400047, -76.60926011099963)",Less than high school,EDU,EDUHS
2013,2013,MD,Maryland,33.8,High school graduate,"(39.29058096400047, -76.60926011099963)",High school graduate,EDU,EDUHSGRAD
2013,2013,MD,Maryland,21.7,College graduate,"(39.29058096400047, -76.60926011099963)",College graduate,EDU,EDUCOGRAD
2014,2014,MD,Maryland,30.2,Some college or technical school,"(39.29058096400047, -76.60926011099963)",Some college or technical school,EDU,EDUCOTEC
2014,2014,MD,Maryland,36.6,Less than high school,"(39.29058096400047, -76.60926011099963)",Less than high school,EDU,EDUHS
2014,2014,MD,Maryland,34.3,High school graduate,"(39.29058096400047, -76.60926011099963)",High school graduate,EDU,EDUHSGRAD
2014,2014,MD,Maryland,22.9,College graduate,"(39.29058096400047, -76.60926011099963)",College graduate,EDU,EDUCOGRAD
2015,2015,MD,Maryland,29.9,Some college or technical school,"(39.29058096400047, -76.60926011099963)",Some college or technical school,EDU,EDUCOTEC
2015,2015,MD,Maryland,35.9,Less than high school,"(39.29058096400047, -76.60926011099963)",Less than high school,EDU,EDUHS
2015,2015,MD,Maryland,34.2,High school graduate,"(39.29058096400047, -76.60926011099963)",High school graduate,EDU,EDUHSGRAD
2015,2015,MD,Maryland,21.4,College graduate,"(39.29058096400047, -76.60926011099963)",College graduate,EDU,EDUCOGRAD
2011,2011,MA,Massachusetts,24.1,Some college or technical school,"(42.27687047000046, -72.08269067499964)",Some college or technical school,EDU,EDUCOTEC
2011,2011,MA,Massachusetts,31.1,Less than high school,"(42.27687047000046, -72.08269067499964)",Less than high school,EDU,EDUHS
2011,2011,MA,Massachusetts,25.2,High school graduate,"(42.27687047000046, -72.08269067499964)",High school graduate,EDU,EDUHSGRAD
2011,2011,MA,Massachusetts,17.3,College graduate,"(42.27687047000046, -72.08269067499964)",College graduate,EDU,EDUCOGRAD
2012,2012,MA,Massachusetts,25.2,Some college or technical school,"(42.27687047000046, -72.08269067499964)",Some college or technical school,EDU,EDUCOTEC
2012,2012,MA,Massachusetts,30.7,Less than high school,"(42.27687047000046, -72.08269067499964)",Less than high school,EDU,EDUHS
2012,2012,MA,Massachusetts,26.5,High school graduate,"(42.27687047000046, -72.08269067499964)",High school graduate,EDU,EDUHSGRAD
2012,2012,MA,Massachusetts,16.2,College graduate,"(42.27687047000046, -72.08269067499964)",College graduate,EDU,EDUCOGRAD
2013,2013,MA,Massachusetts,25.3,Some college or technical school,"(42.27687047000046, -72.08269067499964)",Some college or technical school,EDU,EDUCOTEC
2013,2013,MA,Massachusetts,30.2,Less than high school,"(42.27687047000046, -72.08269067499964)",Less than high school,EDU,EDUHS
2013,2013,MA,Massachusetts,28.4,High school graduate,"(42.27687047000046, -72.08269067499964)",High school graduate,EDU,EDUHSGRAD
